Ano,Presunto_Responsable,Latitud,Longitud,Total_de_Victimas_del_Caso
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2009,GUERRILLA,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2005,DESCONOCIDO,1.363974932,-72.018109505,1
2000,GUERRILLA,2.143447362,-72.243648687,2
2002,GRUPO PARAMILITAR,2.143447362,-72.243648687,1
2002,GUERRILLA,2.143447362,-72.243648687,1
2003,GUERRILLA,2.143447362,-72.243648687,1
2005,GUERRILLA,2.143447362,-72.243648687,1
2006,GUERRILLA,2.143447362,-72.243648687,1
2006,GRUPO ARMADO NO IDENTIFICADO,2.143447362,-72.243648687,1
2007,GUERRILLA,2.143447362,-72.243648687,1
2008,GUERRILLA,2.143447362,-72.243648687,1
2008,GUERRILLA,2.143447362,-72.243648687,1
2010,GUERRILLA,2.143447362,-72.243648687,1
1986,GUERRILLA,2.143447362,-72.243648687,1
1994,GUERRILLA,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2011,GUERRILLA,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2005,DESCONOCIDO,2.143447362,-72.243648687,1
2008,GUERRILLA,2.1988955311,-72.745979474,1
2005,GUERRILLA,1.613634284,-73.0342639,1
1994,GRUPO ARMADO NO IDENTIFICADO,1.613634284,-73.0342639,1
1998,GUERRILLA,1.613634284,-73.0342639,1
2003,GUERRILLA,1.613634284,-73.0342639,1
2003,GUERRILLA,1.613634284,-73.0342639,1
2003,GUERRILLA,1.613634284,-73.0342639,1
2003,GUERRILLA,1.613634284,-73.0342639,2
2003,GUERRILLA,1.613634284,-73.0342639,2
2004,GUERRILLA,1.613634284,-73.0342639,1
2005,GUERRILLA,1.613634284,-73.0342639,1
2005,GUERRILLA,1.613634284,-73.0342639,1
2005,GUERRILLA,1.613634284,-73.0342639,1
